dept,mun
Aguascalientes,Aguascalientes
Aguascalientes,Asientos
Aguascalientes,Calvillo
Aguascalientes,Cosío
Aguascalientes,Jesús María
Aguascalientes,Pabellón de Arteaga
Aguascalientes,Rincón de Romos
Aguascalientes,San José de Gracia
Aguascalientes,Tepezalá
Aguascalientes,El Llano
Aguascalientes,San Francisco de los Romo
Baja California,Ensenada
Baja California,Mexicali
Baja California,Tecate
Baja California,Tijuana
Baja California,Playas de Rosarito
Baja California,San Quintín
Baja California,San Felipe
Baja California Sur,Comondú
Baja California Sur,Mulegé
Baja California Sur,La Paz
Baja California Sur,Los Cabos
Baja California Sur,Loreto
Campeche,Calkiní
Campeche,Campeche
Campeche,Carmen
Campeche,Champotón
Campeche,Hecelchakán
Campeche,Hopelchén
Campeche,Palizada
Campeche,Tenabo
Campeche,Escárcega
Campeche,Calakmul
Campeche,Candelaria
Campeche,Seybaplaya
Campeche,Dzitbalché
Coahuila,Abasolo
Coahuila,Acuña
Coahuila,Allende
Coahuila,Arteaga
Coahuila,Candela
Coahuila,Castaños
Coahuila,Cuatro Ciénegas
Coahuila,Escobedo
Coahuila,Francisco I. Madero
Coahuila,Frontera
Coahuila,General Cepeda
Coahuila,Guerrero
Coahuila,Hidalgo
Coahuila,Jiménez
Coahuila,Juárez
Coahuila,Lamadrid
Coahuila,Matamoros
Coahuila,Monclova
Coahuila,Morelos
Coahuila,Múzquiz
Coahuila,Nadadores
Coahuila,Nava
Coahuila,Ocampo
Coahuila,Parras
Coahuila,Piedras Negras
Coahuila,Progreso
Coahuila,Ramos Arizpe
Coahuila,Sabinas
Coahuila,Sacramento
Coahuila,Saltillo
Coahuila,San Buenaventura
Coahuila,San Juan de Sabinas
Coahuila,San Pedro
Coahuila,Sierra Mojada
Coahuila,Torreón
Coahuila,Viesca
Coahuila,Villa Unión
Coahuila,Zaragoza
Colima,Armería
Colima,Colima
Colima,Comala
Colima,Coquimatlán
Colima,Cuauhtémoc
Colima,Ixtlahuacán
Colima,Manzanillo
Colima,Minatitlán
Colima,Tecomán
Colima,Villa de Álvarez
Chiapas,Acacoyagua
Chiapas,Acala
Chiapas,Acapetahua
Chiapas,Altamirano
Chiapas,Amatán
Chiapas,Amatenango de la Frontera
Chiapas,Amatenango del Valle
Chiapas,Ángel Albino Corzo
Chiapas,Arriaga
Chiapas,Bejucal de Ocampo
Chiapas,Bella Vista
Chiapas,Berriozábal
Chiapas,Bochil
Chiapas,El Bosque
Chiapas,Cacahoatán
